mapping,ordering,global_masking_rate,entropy,A->C,A->G,A->T,C->A,C->G,C->T,G->A,G->C,G->T,T->A,T->C,T->G
101,9_010,0.434896,3.798926,0.446094,0.412500,0.418750,0.446094,0.560937,0.392188,0.412500,0.560937,0.378906,0.418750,0.392188,0.378906
101,9_011,0.467187,3.628860,0.461719,0.575000,0.371875,0.461719,0.550000,0.438281,0.575000,0.550000,0.406250,0.371875,0.438281,0.406250
101,9_100,0.505599,3.352543,0.571875,0.677344,0.399219,0.571875,0.574219,0.407813,0.677344,0.574219,0.403125,0.399219,0.407813,0.403125
101,9_101,0.520052,3.230593,0.539844,0.460938,0.559375,0.539844,0.596875,0.520312,0.460938,0.596875,0.442969,0.559375,0.520312,0.442969
101,9_110,0.465885,3.604756,0.532031,0.492188,0.407813,0.532031,0.600781,0.395312,0.492188,0.600781,0.367188,0.407813,0.395312,0.367188
101,9_codon,0.439844,3.805712,0.374219,0.392969,0.424219,0.374219,0.535937,0.463281,0.392969,0.535937,0.448438,0.424219,0.463281,0.448438
101,k3_alphabetical,0.504557,3.383257,0.405469,0.395312,0.384375,0.405469,0.582031,0.568750,0.395312,0.582031,0.691406,0.384375,0.568750,0.691406
110,0,0.396615,3.824088,0.352344,0.375781,0.446875,0.352344,0.354688,0.432813,0.375781,0.354688,0.417188,0.446875,0.432813,0.417188
110,0_001,0.423568,3.832333,0.435156,0.390625,0.323438,0.435156,0.464063,0.389844,0.390625,0.464063,0.538281,0.323438,0.389844,0.538281
110,0_010,0.521615,3.266526,0.449219,0.567187,0.664062,0.449219,0.460938,0.432031,0.567187,0.460938,0.556250,0.664062,0.432031,0.556250
110,0_011,0.447266,3.708909,0.441406,0.495313,0.535156,0.441406,0.390625,0.368750,0.495313,0.390625,0.452344,0.535156,0.368750,0.452344
110,0_100,0.529297,3.259777,0.450000,0.446094,0.450000,0.450000,0.650781,0.585156,0.446094,0.650781,0.593750,0.450000,0.585156,0.593750
110,0_101,0.501432,3.412951,0.401563,0.407813,0.388281,0.401563,0.591406,0.653906,0.407813,0.591406,0.565625,0.388281,0.653906,0.565625
