mapping,ordering,w,global_masking_rate,entropy,A->C,A->G,A->T,C->A,C->G,C->T,G->A,G->C,G->T,T->A,T->C,T->G
001,0_110,11,0.737830,1.985792,0.611399,0.805681,0.854936,0.615689,0.684530,0.647340,0.807312,0.684554,0.827282,0.854366,0.641471,0.823303
001,0_110,5,0.616276,1.977221,0.514062,0.638281,0.701562,0.514062,0.654687,0.528906,0.638281,0.654687,0.660156,0.701562,0.528906,0.660156
001,0_110,8,0.690942,1.986876,0.561010,0.764226,0.824016,0.563007,0.654212,0.579485,0.765403,0.650130,0.769554,0.824470,0.567490,0.767731
001,0_codon,11,0.735858,1.984611,0.616861,0.824637,0.830202,0.621017,0.674544,0.644868,0.824952,0.674719,0.821919,0.831958,0.642314,0.822103
001,0_codon,5,0.615365,1.974555,0.509375,0.666406,0.645312,0.509375,0.601562,0.605469,0.666406,0.601562,0.664062,0.645312,0.605469,0.664062
001,0_codon,8,0.687179,1.979438,0.550325,0.792296,0.783692,0.558018,0.619404,0.598942,0.790130,0.615281,0.782114,0.778244,0.595713,0.782741
001,0,11,0.729709,1.684665,0.736842,0.728131,0.787913,0.737692,0.707103,0.718976,0.727985,0.709751,0.692761,0.788261,0.726731,0.693949
001,0,5,0.556380,1.940546,0.564063,0.588281,0.575781,0.564063,0.545312,0.560156,0.588281,0.545312,0.504687,0.575781,0.560156,0.504687
001,0,8,0.657467,1.795227,0.665101,0.662876,0.713057,0.663557,0.629484,0.659017,0.662829,0.635999,0.610793,0.716806,0.661336,0.607116
001,10_001,11,0.952758,0.427627,0.991755,0.995439,0.908315,0.991682,0.991537,0.913809,0.995357,0.992238,0.915560,0.912219,0.912147,0.912947
001,10_001,5,0.771354,1.453591,0.849219,0.948438,0.661719,0.849219,0.847656,0.660937,0.948438,0.847656,0.660156,0.661719,0.660937,0.660156
001,10_001,8,0.892283,0.814374,0.960990,0.983054,0.810217,0.962426,0.963780,0.815692,0.983716,0.962772,0.811905,0.817913,0.816512,0.818164
001,10_010,11,0.770415,1.769946,0.859326,0.702021,0.799511,0.859873,0.717635,0.838467,0.700577,0.722908,0.701876,0.799883,0.842484,0.702307
001,10_010,5,0.645312,1.911660,0.669531,0.714063,0.619531,0.669531,0.607812,0.682031,0.714063,0.607812,0.578906,0.619531,0.682031,0.578906
001,10_010,8,0.714871,1.876231,0.793935,0.678952,0.744427,0.791110,0.644268,0.786261,0.677946,0.645760,0.636250,0.745486,0.793385,0.640587
001,10_011,11,0.826145,1.163344,0.817188,0.802418,0.815595,0.818740,0.886731,0.814059,0.801839,0.889654,0.817700,0.816443,0.816407,0.816919
001,10_011,5,0.715625,1.639811,0.702344,0.694531,0.628906,0.702344,0.907813,0.683594,0.694531,0.907813,0.676562,0.628906,0.683594,0.676562
001,10_011,8,0.782396,1.308923,0.775067,0.745676,0.751025,0.779823,0.896622,0.770843,0.750451,0.895821,0.747394,0.751888,0.771943,0.752088
001,10_100,11,0.770091,1.789007,0.710479,0.823241,0.857252,0.705292,0.695556,0.705661,0.819668,0.700268,0.825758,0.857813,0.708374,0.827867
001,10_100,5,0.619271,1.975409,0.552344,0.683594,0.700000,0.552344,0.667188,0.489844,0.683594,0.667188,0.622656,0.700000,0.489844,0.622656
001,10_100,8,0.711013,1.890149,0.635417,0.774639,0.801282,0.626727,0.665716,0.626777,0.769999,0.661111,0.770398,0.797632,0.626843,0.775346
001,10_101,11,0.833139,1.255214,0.831447,0.830178,0.937577,0.831331,0.801855,0.797326,0.830310,0.797827,0.801050,0.938803,0.799570,0.800226
001,10_101,5,0.686068,1.690597,0.777344,0.721094,0.735156,0.777344,0.698438,0.592187,0.721094,0.698438,0.592187,0.735156,0.592187,0.592187
001,10_101,8,0.784246,1.375648,0.799064,0.782105,0.898752,0.804777,0.760805,0.735772,0.781817,0.763414,0.727109,0.897834,0.734150,0.725921
001,10_110,11,0.751561,1.979645,0.834331,0.657745,0.861023,0.837802,0.657985,0.854875,0.659264,0.655368,0.639276,0.863845,0.855242,0.641514
001,10_110,5,0.612891,1.977005,0.664844,0.651563,0.642188,0.664844,0.524219,0.692187,0.651563,0.524219,0.502344,0.642188,0.692187,0.502344
001,10_110,8,0.696979,1.993118,0.786333,0.624029,0.799495,0.786012,0.584608,0.818050,0.621671,0.584311,0.573939,0.797248,0.813160,0.571829
001,10_codon,11,0.733388,1.981295,0.712150,0.782397,0.760871,0.711686,0.621563,0.836936,0.780755,0.624954,0.679538,0.762584,0.845780,0.681252
001,10_codon,5,0.618620,1.994147,0.564063,0.722656,0.615625,0.564063,0.517969,0.727344,0.722656,0.517969,0.564063,0.615625,0.727344,0.564063
001,10_codon,8,0.686454,1.984085,0.638871,0.784162,0.697377,0.636105,0.577713,0.794181,0.785560,0.574277,0.630292,0.693952,0.796584,0.628128
001,10,11,0.698233,1.926816,0.680405,0.704497,0.714286,0.686012,0.675999,0.669300,0.705713,0.670859,0.749608,0.714333,0.660212,0.747629
001,10,5,0.564193,1.961737,0.564844,0.599219,0.553125,0.564844,0.528906,0.560156,0.599219,0.528906,0.578906,0.553125,0.560156,0.578906
001,10,8,0.632892,1.953793,0.626206,0.645145,0.651342,0.617187,0.605069,0.598532,0.640751,0.604355,0.681902,0.643315,0.600636,0.679684
001,11_001,11,0.940139,0.498342,0.899931,0.981429,0.975046,0.905370,0.904090,0.901053,0.980904,0.897658,0.984280,0.973928,0.893267,0.983824
001,11_001,5,0.775000,1.420127,0.662500,0.850000,0.850000,0.662500,0.662500,0.662500,0.850000,0.662500,0.962500,0.850000,0.662500,0.962500
001,11_001,8,0.887375,0.808834,0.811596,0.955873,0.949598,0.813623,0.813373,0.812071,0.957890,0.813178,0.979192,0.951491,0.810535,0.979612
001,11_010,11,0.751879,1.944268,0.851974,0.677120,0.842077,0.848971,0.654811,0.806131,0.679537,0.654120,0.681334,0.842047,0.804228,0.683688
001,11_010,5,0.647135,1.890664,0.664062,0.607031,0.706250,0.664062,0.546094,0.642969,0.607031,0.546094,0.716406,0.706250,0.642969,0.716406
001,11_010,8,0.705483,1.919983,0.797450,0.620500,0.795150,0.796714,0.598352,0.760338,0.630876,0.599073,0.658242,0.797065,0.758934,0.653823
001,11_011,11,0.843973,1.031553,0.819893,0.801726,0.797955,0.825061,0.877839,0.849567,0.800806,0.875082,0.916975,0.799746,0.846704,0.916615
001,11_011,5,0.718099,1.593273,0.634375,0.652344,0.655469,0.634375,0.722656,0.734375,0.652344,0.722656,0.909375,0.655469,0.734375,0.909375
001,11_011,8,0.793458,1.227080,0.749633,0.734968,0.737143,0.743783,0.819885,0.801395,0.735366,0.826072,0.914300,0.739905,0.803853,0.912685
001,11_100,11,0.772018,1.652630,0.743368,0.716183,0.715929,0.738662,0.809445,0.810273,0.711243,0.810077,0.842523,0.711219,0.812712,0.842503
001,11_100,5,0.622526,1.960842,0.673438,0.507031,0.556250,0.673438,0.618750,0.679688,0.507031,0.618750,0.700000,0.556250,0.679688,0.700000
001,11_100,8,0.718512,1.776575,0.710906,0.640729,0.644447,0.707708,0.754349,0.761848,0.641980,0.755732,0.798309,0.638661,0.764161,0.802392
001,11_101,11,0.799330,1.492262,0.799825,0.791606,0.771442,0.798918,0.807339,0.785924,0.783861,0.795064,0.851005,0.769862,0.781139,0.855662
001,11_101,5,0.676562,1.778675,0.626563,0.624219,0.728125,0.626563,0.633594,0.691406,0.624219,0.633594,0.755469,0.728125,0.691406,0.755469
001,11_101,8,0.752546,1.578064,0.732669,0.731917,0.741685,0.741910,0.737372,0.740015,0.733500,0.735603,0.830596,0.742542,0.734496,0.828294
001,11_110,11,0.759158,1.855512,0.743067,0.664353,0.892722,0.745029,0.767945,0.781732,0.669350,0.771553,0.696026,0.894199,0.785542,0.697942
001,11_110,5,0.619401,1.999818,0.574219,0.510156,0.748437,0.574219,0.717969,0.617188,0.510156,0.717969,0.548438,0.748437,0.617188,0.548438
001,11_110,8,0.703163,1.945411,0.677482,0.600170,0.867908,0.682023,0.750125,0.703155,0.600552,0.747593,0.620863,0.868830,0.699289,0.619166
001,11_codon,11,0.738082,1.778360,0.772266,0.744876,0.777883,0.775629,0.697003,0.751630,0.736808,0.689192,0.690571,0.778592,0.749030,0.693932
001,11_codon,5,0.630469,1.904595,0.641406,0.606250,0.624219,0.641406,0.671875,0.581250,0.606250,0.671875,0.657813,0.624219,0.581250,0.657813
001,11_codon,8,0.688550,1.823343,0.715525,0.688245,0.711186,0.717853,0.664279,0.669552,0.695751,0.669086,0.667826,0.718199,0.676513,0.668266
001,11,11,0.709321,1.893623,0.682915,0.663619,0.741346,0.684653,0.679395,0.762692,0.665327,0.682247,0.719230,0.747535,0.764259,0.719017
001,11,5,0.557552,1.937758,0.510938,0.582812,0.553125,0.510938,0.551562,0.536719,0.582812,0.551562,0.610156,0.553125,0.536719,0.610156
001,11,8,0.640487,1.912454,0.607951,0.619408,0.673608,0.608985,0.619259,0.659095,0.620611,0.614245,0.664976,0.668954,0.662442,0.666400
001,12_001,11,0.924897,0.538763,0.895008,0.967129,0.963020,0.888650,0.876189,0.889816,0.968511,0.885411,0.952766,0.964490,0.897560,0.949721
001,12_001,5,0.775000,1.420127,0.662500,0.962500,0.850000,0.662500,0.662500,0.662500,0.962500,0.662500,0.850000,0.850000,0.662500,0.850000
001,12_001,8,0.871500,0.861234,0.801591,0.963650,0.935803,0.801979,0.792083,0.803140,0.966058,0.795401,0.925795,0.938122,0.805813,0.925667
001,12_010,11,0.759170,1.911312,0.834559,0.694741,0.826876,0.833504,0.675135,0.836140,0.696433,0.674438,0.676015,0.832590,0.844384,0.682619
001,12_010,5,0.638932,1.933836,0.671094,0.700000,0.631250,0.671094,0.585156,0.702344,0.700000,0.585156,0.543750,0.631250,0.702344,0.543750
001,12_010,8,0.704108,1.949940,0.773477,0.670130,0.765035,0.765241,0.606415,0.796619,0.667502,0.606032,0.606934,0.768597,0.804109,0.618715
001,12_011,11,0.922758,0.594951,0.882133,0.978557,0.966036,0.880012,0.878208,0.881853,0.979642,0.879460,0.948851,0.966058,0.883698,0.946372
001,12_011,5,0.748828,1.553195,0.650781,0.898438,0.830469,0.650781,0.639062,0.659375,0.898438,0.639062,0.814844,0.830469,0.659375,0.814844
001,12_011,8,0.869017,0.914159,0.800679,0.966156,0.932611,0.799401,0.797654,0.802246,0.966069,0.796363,0.917184,0.933141,0.801293,0.915568
001,12_100,11,0.750812,1.887108,0.794478,0.687956,0.756694,0.789011,0.716161,0.862078,0.685553,0.717285,0.691994,0.752569,0.860214,0.695345
001,12_100,5,0.602865,1.993173,0.552344,0.646875,0.594531,0.552344,0.528125,0.709375,0.646875,0.528125,0.585938,0.594531,0.709375,0.585938
001,12_100,8,0.686967,1.945321,0.709835,0.652100,0.677583,0.703950,0.643409,0.810857,0.649709,0.650160,0.633119,0.678073,0.809337,0.625776
001,12_101,11,0.931745,0.532355,0.894879,0.975011,0.974756,0.891999,0.887510,0.892437,0.974853,0.889091,0.966749,0.974739,0.892940,0.965389
001,12_101,5,0.745573,1.529396,0.627344,0.903125,0.803125,0.627344,0.645312,0.660937,0.903125,0.645312,0.833594,0.803125,0.660937,0.833594
001,12_101,8,0.870912,0.897240,0.800801,0.963686,0.934886,0.802913,0.796749,0.803857,0.964667,0.790149,0.924693,0.936365,0.803763,0.930027
001,12_110,11,0.736124,1.983444,0.645247,0.887796,0.755074,0.641284,0.638630,0.769083,0.883514,0.636805,0.722794,0.754892,0.774315,0.724460
001,12_110,5,0.612109,1.995979,0.570312,0.742188,0.528125,0.570312,0.573438,0.728125,0.742188,0.573438,0.530469,0.528125,0.728125,0.530469
001,12_110,8,0.683204,1.993822,0.591774,0.852119,0.650837,0.599136,0.599086,0.774652,0.849487,0.593388,0.633459,0.647597,0.771616,0.634695
001,12_codon,11,0.757700,1.742874,0.764207,0.757076,0.812623,0.762778,0.681854,0.791291,0.759122,0.684802,0.730811,0.819682,0.794496,0.734669
001,12_codon,5,0.627995,1.897555,0.621094,0.666406,0.607812,0.621094,0.648438,0.625781,0.666406,0.648438,0.598437,0.607812,0.625781,0.598437
001,12_codon,8,0.697746,1.796098,0.686773,0.706082,0.728933,0.681852,0.646531,0.730721,0.710607,0.653698,0.679802,0.728044,0.736133,0.683509
001,12,11,0.743836,1.660778,0.716061,0.764785,0.777506,0.709289,0.699559,0.767019,0.756606,0.699720,0.754571,0.762198,0.764090,0.755103
001,12,5,0.567969,1.929647,0.481250,0.639062,0.605469,0.481250,0.514062,0.559375,0.639062,0.514062,0.608594,0.605469,0.559375,0.608594
001,12,8,0.670046,1.769672,0.610304,0.715406,0.690374,0.610481,0.629856,0.671318,0.710496,0.627275,0.701621,0.691326,0.677862,0.703398
001,13_001,11,0.950439,0.430102,0.912346,0.996967,0.990171,0.907919,0.904958,0.902719,0.996205,0.910242,0.991900,0.992227,0.907087,0.993825
001,13_001,5,0.775000,1.420127,0.662500,0.962500,0.850000,0.662500,0.662500,0.662500,0.962500,0.662500,0.850000,0.850000,0.662500,0.850000
001,13_001,8,0.890487,0.789790,0.810184,0.989706,0.964096,0.810840,0.806158,0.800827,0.990904,0.811875,0.966214,0.966058,0.803499,0.966758
001,13_010,11,0.745812,1.920044,0.827408,0.628236,0.798741,0.830593,0.676127,0.859194,0.627626,0.673669,0.678993,0.806200,0.859826,0.686621
001,13_010,5,0.639323,1.954179,0.671094,0.582031,0.692969,0.671094,0.690625,0.650781,0.582031,0.690625,0.548438,0.692969,0.650781,0.548438
001,13_010,8,0.698313,1.953276,0.777384,0.579997,0.784913,0.768313,0.641537,0.794255,0.586333,0.651353,0.618818,0.777582,0.787530,0.610330
001,13_011,11,0.791209,1.540992,0.820020,0.746900,0.868451,0.819648,0.714530,0.838502,0.745667,0.709584,0.757999,0.869993,0.837546,0.764721
001,13_011,5,0.694531,1.753896,0.646875,0.749219,0.708594,0.646875,0.629687,0.725000,0.749219,0.629687,0.707812,0.708594,0.725000,0.707812
001,13_011,8,0.749004,1.616792,0.759242,0.728461,0.805512,0.763060,0.671132,0.814302,0.725535,0.665802,0.718848,0.803821,0.811472,0.721408
001,13_100,11,0.748736,1.975090,0.692439,0.726455,0.696591,0.685665,0.825239,0.769014,0.721156,0.829020,0.787609,0.690320,0.770952,0.790226
001,13_100,5,0.611979,1.991684,0.575000,0.528906,0.665625,0.575000,0.711719,0.617188,0.528906,0.711719,0.573438,0.665625,0.617188,0.573438
001,13_100,8,0.694987,1.988621,0.630224,0.655913,0.660679,0.632797,0.793638,0.699008,0.657548,0.796957,0.724849,0.662801,0.700111,0.723908
001,13_101,11,0.796424,1.562092,0.740322,0.732479,0.754376,0.745368,0.832131,0.881041,0.730825,0.827100,0.837655,0.755282,0.878950,0.841606
001,13_101,5,0.664193,1.842910,0.542969,0.660937,0.632812,0.542969,0.675781,0.717969,0.660937,0.675781,0.754687,0.632812,0.717969,0.754687
001,13_101,8,0.747237,1.670951,0.675072,0.682587,0.704489,0.669423,0.785028,0.829108,0.683268,0.785769,0.817467,0.698498,0.826727,0.812012
001,13_110,11,0.739427,1.897335,0.762027,0.689246,0.669542,0.763591,0.760402,0.747536,0.681822,0.756876,0.806401,0.673860,0.748268,0.812897
001,13_110,5,0.610547,1.986353,0.623437,0.503906,0.604688,0.623437,0.642969,0.650781,0.503906,0.642969,0.637500,0.604688,0.650781,0.637500
001,13_110,8,0.687429,1.950475,0.716529,0.607832,0.627685,0.719450,0.701098,0.726972,0.607505,0.699146,0.747114,0.621773,0.723263,0.752766
001,13_codon,11,0.759145,1.676258,0.793147,0.775866,0.691043,0.796494,0.791166,0.727374,0.777523,0.790897,0.769724,0.692963,0.732915,0.770438
001,13_codon,5,0.613021,1.961907,0.692187,0.586719,0.527344,0.692187,0.646094,0.573438,0.586719,0.646094,0.652344,0.527344,0.573438,0.652344
001,13_codon,8,0.698187,1.819698,0.753684,0.708530,0.627103,0.753785,0.731248,0.656039,0.708667,0.727351,0.714458,0.623204,0.653837,0.720657
001,13,11,0.694930,1.983478,0.694017,0.709749,0.694162,0.690831,0.662916,0.707129,0.704925,0.662315,0.711271,0.685597,0.708538,0.707845
001,13,5,0.554167,1.979719,0.535156,0.579688,0.582812,0.535156,0.507031,0.528125,0.579688,0.507031,0.592187,0.582812,0.528125,0.592187
001,13,8,0.628042,1.981365,0.625531,0.642589,0.633385,0.626118,0.580966,0.634363,0.642793,0.583925,0.650295,0.633757,0.630388,0.652869
001,14_001,11,0.954227,0.418779,0.991888,0.991743,0.915945,0.993237,0.996271,0.915256,0.992448,0.996498,0.913204,0.913955,0.915837,0.915186
001,14_001,5,0.775000,1.420127,0.850000,0.850000,0.662500,0.850000,0.962500,0.662500,0.850000,0.962500,0.662500,0.662500,0.662500,0.662500
001,14_001,8,0.896300,0.775315,0.968484,0.966941,0.818820,0.965709,0.989437,0.822087,0.966955,0.989102,0.818953,0.814650,0.817846,0.817147
001,14_010,11,0.787715,1.659502,0.801451,0.732501,0.908668,0.810202,0.724615,0.813824,0.731878,0.726528,0.747453,0.906439,0.805893,0.742379
001,14_010,5,0.659766,1.862519,0.635156,0.580469,0.704688,0.635156,0.724219,0.682031,0.580469,0.724219,0.632031,0.704688,0.682031,0.632031
001,14_010,8,0.728521,1.773670,0.742456,0.660078,0.842285,0.746219,0.690613,0.753983,0.665757,0.689323,0.677962,0.847048,0.753876,0.673673
001,14_011,11,0.873670,0.926459,0.894466,0.884941,0.837064,0.892436,0.961467,0.844041,0.879380,0.961439,0.827457,0.832350,0.838285,0.830858
001,14_011,5,0.714844,1.658353,0.697656,0.687500,0.640625,0.697656,0.890625,0.692969,0.687500,0.890625,0.679688,0.640625,0.692969,0.679688
001,14_011,8,0.811092,1.236654,0.822444,0.819135,0.754450,0.821667,0.951473,0.760260,0.821123,0.949632,0.760950,0.755806,0.759418,0.755505
001,14_100,11,0.755458,1.856030,0.694942,0.692441,0.679542,0.693424,0.856596,0.814435,0.694491,0.857943,0.791318,0.678266,0.819861,0.793280
001,14_100,5,0.612760,1.977798,0.549219,0.497656,0.664844,0.549219,0.699219,0.664844,0.497656,0.699219,0.600781,0.664844,0.664844,0.600781
001,14_100,8,0.697879,1.920029,0.616931,0.609212,0.652767,0.617235,0.809191,0.761140,0.611214,0.806408,0.733517,0.655751,0.761781,0.738668
001,14_101,11,0.947245,0.445235,0.994681,0.986756,0.911923,0.994518,0.984980,0.910247,0.986700,0.985510,0.904952,0.904318,0.902667,0.898155
001,14_101,5,0.751172,1.523256,0.926562,0.832031,0.628125,0.926562,0.841406,0.635938,0.832031,0.841406,0.642969,0.628125,0.635938,0.642969
001,14_101,8,0.885900,0.823350,0.983652,0.959306,0.808479,0.983268,0.957843,0.810292,0.959220,0.957430,0.805550,0.804238,0.804387,0.799115
001,14_110,11,0.740730,1.918854,0.753922,0.646136,0.825148,0.745861,0.721861,0.812008,0.641351,0.728351,0.690433,0.817938,0.813664,0.690321
001,14_110,5,0.591406,1.993861,0.537500,0.556250,0.628125,0.537500,0.612500,0.565625,0.556250,0.612500,0.648438,0.628125,0.565625,0.648438
001,14_110,8,0.681933,1.954093,0.672922,0.592770,0.770063,0.669674,0.680740,0.731034,0.588974,0.678810,0.647801,0.767303,0.730016,0.651631
001,14_codon,11,0.747100,1.897355,0.681734,0.828755,0.774032,0.681470,0.699877,0.734233,0.831507,0.704708,0.761953,0.772092,0.737626,0.758153
001,14_codon,5,0.622005,1.974237,0.520312,0.709375,0.620313,0.520312,0.554688,0.683594,0.709375,0.554688,0.643750,0.620313,0.683594,0.643750
001,14_codon,8,0.690767,1.964710,0.606927,0.791652,0.731395,0.600336,0.615571,0.693080,0.792905,0.619181,0.710728,0.728697,0.688788,0.712320
001,14,11,0.715633,1.951199,0.740497,0.705592,0.692507,0.737076,0.679974,0.741197,0.705418,0.683127,0.731135,0.694415,0.746512,0.730252
001,14,5,0.549089,1.982807,0.559375,0.544531,0.491406,0.559375,0.566406,0.561719,0.544531,0.566406,0.571094,0.491406,0.561719,0.571094
001,14,8,0.647796,1.982640,0.659269,0.642775,0.606038,0.670383,0.629687,0.669983,0.648460,0.628688,0.670977,0.609358,0.671626,0.666316
001,15_001,11,0.913318,0.637004,0.947981,0.956289,0.873058,0.947596,0.946732,0.877172,0.956725,0.949077,0.871902,0.876780,0.880734,0.874876
001,15_001,5,0.765365,1.475856,0.842969,0.940625,0.657031,0.842969,0.838281,0.660937,0.940625,0.838281,0.652344,0.657031,0.660937,0.652344
001,15_001,8,0.868558,0.896211,0.930154,0.957843,0.798593,0.929317,0.928966,0.806827,0.958971,0.930423,0.800313,0.791899,0.800988,0.792047
001,15_010,11,0.754112,1.862081,0.708976,0.801715,0.838995,0.709162,0.669994,0.669522,0.799175,0.673130,0.836930,0.838592,0.669152,0.834469
001,15_010,5,0.642188,1.904376,0.710938,0.652344,0.631250,0.710938,0.612500,0.555469,0.652344,0.612500,0.690625,0.631250,0.555469,0.690625
001,15_010,8,0.700046,1.890840,0.670366,0.732304,0.765047,0.674331,0.617405,0.610498,0.736106,0.621175,0.795661,0.768491,0.609699,0.797299
001,15_011,11,0.784803,1.564763,0.731751,0.737602,0.738517,0.726196,0.818205,0.829538,0.738167,0.821465,0.854185,0.738188,0.827483,0.855090
001,15_011,5,0.700911,1.724632,0.731250,0.714063,0.617188,0.731250,0.762500,0.685156,0.714063,0.762500,0.695312,0.617188,0.685156,0.695312
001,15_011,8,0.749875,1.613628,0.694983,0.710777,0.692591,0.700060,0.792616,0.792465,0.711193,0.793931,0.811228,0.691026,0.792867,0.815426
001,15_100,11,0.743824,1.926478,0.813525,0.680867,0.852472,0.814125,0.643689,0.815568,0.686791,0.651619,0.652199,0.850112,0.813664,0.652688
001,15_100,5,0.612109,1.976742,0.621875,0.671094,0.669531,0.621875,0.485938,0.682813,0.671094,0.485938,0.541406,0.669531,0.682813,0.541406
001,15_100,8,0.697167,1.927913,0.774245,0.660271,0.789295,0.770148,0.589500,0.777384,0.660747,0.591061,0.597695,0.782598,0.775595,0.597995
001,15_101,11,0.830955,1.225402,0.852424,0.844058,0.877851,0.847927,0.795126,0.815837,0.839266,0.797603,0.793948,0.881552,0.824215,0.800992
001,15_101,5,0.705599,1.720306,0.806250,0.740625,0.708594,0.806250,0.726562,0.656250,0.740625,0.726562,0.595313,0.708594,0.656250,0.595313
001,15_101,8,0.786779,1.421597,0.830798,0.808835,0.835902,0.829005,0.752357,0.762896,0.805904,0.745671,0.731878,0.840757,0.764756,0.733147
001,15_110,11,0.745452,1.942207,0.801306,0.650261,0.787369,0.801978,0.675701,0.871305,0.647617,0.676686,0.689244,0.784206,0.870103,0.687028
001,15_110,5,0.613151,1.990784,0.634375,0.646875,0.657813,0.634375,0.499219,0.708594,0.646875,0.499219,0.532031,0.657813,0.708594,0.532031
001,15_110,8,0.691783,1.957244,0.756995,0.629857,0.732921,0.755824,0.605686,0.816906,0.625075,0.605160,0.610843,0.733846,0.817051,0.609965
001,15_codon,11,0.738727,1.968495,0.642609,0.868018,0.833193,0.640898,0.602375,0.680856,0.869070,0.603276,0.799257,0.836818,0.683981,0.800627
001,15_codon,5,0.626563,1.965156,0.554688,0.707031,0.678906,0.554688,0.517969,0.667969,0.707031,0.517969,0.632812,0.678906,0.667969,0.632812
001,15_codon,8,0.692338,1.983907,0.584584,0.827492,0.783667,0.590961,0.555088,0.645724,0.830237,0.556259,0.752999,0.785831,0.643150,0.750729
001,15,11,0.714785,1.892365,0.714084,0.671926,0.748788,0.720201,0.712182,0.731938,0.671698,0.711632,0.703719,0.752397,0.731592,0.706698
001,15,5,0.571615,1.965754,0.612500,0.557813,0.565625,0.612500,0.585156,0.564063,0.557813,0.585156,0.544531,0.565625,0.564063,0.544531
001,15,8,0.651204,1.932934,0.669508,0.599412,0.674444,0.672626,0.660824,0.666003,0.601406,0.662801,0.628313,0.678652,0.667018,0.633118
001,16_001,11,0.937055,0.497024,0.903929,0.902803,0.902548,0.901147,0.974633,0.970533,0.901007,0.975715,0.969499,0.901262,0.972326,0.969299
001,16_001,5,0.775000,1.420127,0.662500,0.662500,0.662500,0.662500,0.962500,0.850000,0.662500,0.962500,0.850000,0.662500,0.850000,0.850000
001,16_001,8,0.886708,0.806299,0.811463,0.811815,0.809804,0.811807,0.973094,0.953151,0.818804,0.974036,0.955013,0.812966,0.952691,0.954143
001,16_010,11,0.757030,1.805738,0.844460,0.703590,0.829427,0.845206,0.685251,0.797121,0.696243,0.683233,0.691200,0.826386,0.792222,0.688570
001,16_010,5,0.651302,1.887501,0.691406,0.582812,0.609375,0.691406,0.636719,0.658594,0.582812,0.636719,0.728906,0.609375,0.658594,0.728906
001,16_010,8,0.710683,1.826873,0.807228,0.649455,0.753366,0.802887,0.647506,0.740795,0.644626,0.645481,0.677787,0.748313,0.735510,0.674226
001,16_011,11,0.817448,1.422056,0.780886,0.802091,0.901503,0.782153,0.787271,0.811326,0.800860,0.787737,0.819925,0.902304,0.811571,0.820365
001,16_011,5,0.694661,1.753994,0.708594,0.688281,0.723437,0.708594,0.752344,0.657031,0.688281,0.752344,0.638281,0.723437,0.657031,0.638281
001,16_011,8,0.762958,1.595095,0.732369,0.745337,0.853516,0.727223,0.745156,0.750735,0.746193,0.747902,0.753229,0.850936,0.751326,0.751577
