mapping,ordering,w,global_masking_rate,entropy,A->C,A->G,A->T,C->A,C->G,C->T,G->A,G->C,G->T,T->A,T->C,T->G
001,0_001,11,0.930739,0.513033,0.971580,0.967814,0.893595,0.972426,0.967727,0.890358,0.965845,0.967118,0.893205,0.897244,0.887621,0.893964
001,0_001,5,0.773958,1.421525,0.960938,0.850781,0.660937,0.960938,0.849219,0.660937,0.850781,0.849219,0.660937,0.660937,0.660937,0.660937
001,0_001,8,0.882212,0.796449,0.974770,0.949992,0.818804,0.975250,0.943954,0.804980,0.946801,0.944542,0.815558,0.808486,0.800160,0.804198
001,0_010,11,0.747321,1.962490,0.681273,0.838027,0.836070,0.675881,0.665305,0.654438,0.836689,0.660586,0.806200,0.838727,0.663948,0.809676
001,0_010,5,0.628646,1.934916,0.540625,0.640625,0.669531,0.540625,0.682813,0.571094,0.640625,0.682813,0.667188,0.669531,0.571094,0.667188
001,0_010,8,0.692425,1.951523,0.606557,0.771648,0.778739,0.605546,0.633174,0.599980,0.778268,0.636090,0.759481,0.781816,0.606620,0.753208
001,0_011,11,0.898961,0.779970,0.993098,0.903887,0.881003,0.993423,0.910181,0.882821,0.904956,0.906848,0.831453,0.877631,0.875410,0.826476
001,0_011,5,0.735417,1.594685,0.853906,0.782031,0.670312,0.853906,0.828906,0.651563,0.782031,0.828906,0.625781,0.670312,0.651563,0.625781
001,0_011,8,0.841675,1.103492,0.968122,0.869244,0.798952,0.968973,0.878822,0.788920,0.867072,0.877031,0.746567,0.798374,0.790847,0.745233
001,0_100,11,0.748297,1.883279,0.684371,0.660676,0.716062,0.681500,0.831282,0.806264,0.659935,0.825781,0.790240,0.715592,0.806339,0.799818
001,0_100,5,0.617057,1.971986,0.507031,0.548438,0.675000,0.507031,0.694531,0.617188,0.548438,0.694531,0.660156,0.675000,0.617188,0.660156
001,0_100,8,0.699125,1.911234,0.619184,0.603055,0.682141,0.620861,0.789635,0.751204,0.605483,0.785939,0.747840,0.682804,0.750124,0.748985
001,0_101,11,0.774545,1.605718,0.742879,0.745648,0.721299,0.744446,0.820578,0.836519,0.751089,0.820245,0.774411,0.725137,0.837669,0.775630
001,0_101,5,0.653125,1.874075,0.585938,0.698438,0.567187,0.585938,0.690625,0.721875,0.698438,0.690625,0.654687,0.567187,0.721875,0.654687
001,0_101,8,0.727717,1.698115,0.681348,0.730237,0.664270,0.682486,0.762553,0.797259,0.731148,0.773425,0.729749,0.663011,0.791717,0.725511
