mapping,ordering,global_masking_rate,entropy,A->C,A->G,A->T,C->A,C->G,C->T,G->A,G->C,G->T,T->A,T->C,T->G
0,,0.396615,3.824088,0.352344,0.375781,0.446875,0.352344,0.354688,0.432813,0.375781,0.354688,0.417188,0.446875,0.432813,0.417188
0,110_cov,0.490234,3.499864,0.458594,0.444531,0.464063,0.458594,0.414844,0.743750,0.444531,0.414844,0.415625,0.464063,0.743750,0.415625
0,110_ct,0.519661,3.372442,0.454688,0.487500,0.453125,0.454688,0.521875,0.678125,0.487500,0.521875,0.522656,0.453125,0.678125,0.522656
0,110_ga,0.526172,3.226883,0.446875,0.664844,0.580469,0.446875,0.439844,0.432813,0.664844,0.439844,0.592187,0.580469,0.432813,0.592187
0,110_gc,0.504687,3.330911,0.487500,0.447656,0.414062,0.487500,0.618750,0.573438,0.447656,0.618750,0.486719,0.414062,0.573438,0.486719
1,,0.387370,3.864878,0.368750,0.407813,0.410156,0.368750,0.359375,0.399219,0.407813,0.359375,0.378906,0.410156,0.399219,0.378906
10,,0.387760,3.829998,0.378906,0.403906,0.364062,0.378906,0.327344,0.417188,0.403906,0.327344,0.435156,0.364062,0.417188,0.435156
10,110_cov,0.564974,3.068556,0.516406,0.589063,0.552344,0.516406,0.535937,0.624219,0.589063,0.535937,0.571875,0.552344,0.624219,0.571875
10,110_ct,0.518099,3.279866,0.535156,0.410156,0.528906,0.535156,0.466406,0.689844,0.410156,0.466406,0.478125,0.528906,0.689844,0.478125
10,110_ga,0.538411,3.204850,0.478125,0.666406,0.562500,0.478125,0.479688,0.481250,0.666406,0.479688,0.562500,0.562500,0.481250,0.562500
10,110_gc,0.517839,3.270113,0.480469,0.514062,0.461719,0.480469,0.603906,0.519531,0.514062,0.603906,0.527344,0.461719,0.519531,0.527344
11,,0.407161,3.780333,0.417188,0.378906,0.428125,0.417188,0.382031,0.421094,0.378906,0.382031,0.415625,0.428125,0.421094,0.415625
11,110_cov,0.542448,3.159654,0.499219,0.471875,0.503906,0.499219,0.545312,0.682031,0.471875,0.545312,0.552344,0.503906,0.682031,0.552344
11,110_ct,0.519661,3.268297,0.509375,0.428906,0.507031,0.509375,0.475000,0.727344,0.428906,0.475000,0.470313,0.507031,0.727344,0.470313
11,110_ga,0.559766,3.101363,0.545312,0.617188,0.559375,0.545312,0.528906,0.564063,0.617188,0.528906,0.543750,0.559375,0.564063,0.543750
11,110_gc,0.564063,3.068843,0.546875,0.529687,0.566406,0.546875,0.627344,0.567187,0.529687,0.627344,0.546875,0.566406,0.567187,0.546875
12,,0.407031,3.819046,0.362500,0.395312,0.417188,0.362500,0.419531,0.417969,0.395312,0.419531,0.429688,0.417188,0.417969,0.429688
12,110_cov,0.552474,3.110249,0.560937,0.500781,0.541406,0.560937,0.537500,0.603125,0.500781,0.537500,0.571094,0.541406,0.603125,0.571094
12,110_ct,0.513151,3.322890,0.477344,0.422656,0.481250,0.477344,0.513281,0.691406,0.422656,0.513281,0.492969,0.481250,0.691406,0.492969
12,110_ga,0.545573,3.119422,0.553906,0.680469,0.513281,0.553906,0.549219,0.453125,0.680469,0.549219,0.523438,0.513281,0.453125,0.523438
12,110_gc,0.541406,3.143173,0.524219,0.538281,0.447656,0.524219,0.689063,0.526563,0.538281,0.689063,0.522656,0.447656,0.526563,0.522656
13,,0.412500,3.720327,0.425000,0.353906,0.429688,0.425000,0.382031,0.478906,0.353906,0.382031,0.405469,0.429688,0.478906,0.405469
13,110_cov,0.532813,3.199906,0.521094,0.465625,0.519531,0.521094,0.534375,0.657031,0.465625,0.534375,0.499219,0.519531,0.657031,0.499219
13,110_ct,0.519792,3.278544,0.503906,0.392969,0.503906,0.503906,0.485156,0.737500,0.392969,0.485156,0.495313,0.503906,0.737500,0.495313
13,110_ga,0.539323,3.206298,0.483594,0.642188,0.571875,0.483594,0.478906,0.484375,0.642188,0.478906,0.575000,0.571875,0.484375,0.575000
